County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
L,Kent,"Sun, 04/30 06:30",100K,Jack Bristol Lake Waramaug Ultra Races,"$90 through 3/31, $100 after",2017-04-30T06:30:00Z,4,30,7
L,Kent,"Sun, 04/30 06:30",50M,Jack Bristol Lake Waramaug Ultra Races,"$90 through 3/31, $100 after",2017-04-30T06:30:00Z,4,30,7
L,Kent,"Sun, 04/30 07:30",50K,Jack Bristol Lake Waramaug Ultra Races,"$90 through 3/31, $100 after",2017-04-30T07:30:00Z,4,30,7
H,East Hartford,"Sun, 04/30 08:00",5K,Run for the Babies,"$30 through 4/16, $40 after",2017-04-30T08:00:00Z,4,30,7
F,Greenwich,"Sun, 04/30 08:30",5K,BCA 5K Run For Hope,.$40,2017-04-30T08:30:00Z,4,30,7
NH,Cheshire,"Sun, 04/30 08:30",13.1M,Cheshire Half Marathon & 5K,"$60 through 3/1, $65 through 4/29, $70 raceday",2017-04-30T08:30:00Z,4,30,7
NH,Cheshire,"Sun, 04/30 08:36",5K,Cheshire Half Marathon & 5K,"$30 through 3/1, $32 through 4/29, $35 raceday ($5 off for students)",2017-04-30T08:36:00Z,4,30,7
NH,Hamden,"Sun, 04/30 09:00",5K,Sprint Into Spring Glen,"$25, $30 raceday; Spring Glen residents - $22, $27 raceday",2017-04-30T09:00:00Z,4,30,7
F,Westport,"Sun, 04/30 09:00",5K,Green Farms Academy Dragon Dash,".$25, $30 raceday; Ages 17 & under - $18, $20 raceday",2017-04-30T09:00:00Z,4,30,7
F,Shelton,"Sun, 04/30 09:00",5K,SEEF Run/Walk for Education,.$25,2017-04-30T09:00:00Z,4,30,7
NL,New London,"Sun, 04/30 09:00",Youth Duathlon,"Proud to ""DU"" it",$15 (+2.50); $55 (+3.30) for Triple Crown Series,2017-04-30T09:00:00Z,4,30,7
H,Farmington,"Sun, 04/30 10:00",5K,Amy's Angels Run 5K,$25 (+3.00),2017-04-30T10:00:00Z,4,30,7
F,Brookfield,"Sun, 04/30 10:00",5K,We Care 5K,.$22,2017-04-30T10:00:00Z,4,30,7
F,Bethel,"Sun, 04/30 11:00",Kids 1M,Healthy Kids Running Series - Week 1,$35 for 5-week series [4th - 8th grade ONLY],2017-04-30T11:00:00Z,4,30,7
H,Simsbury,"Sun, 04/30 12:00",10K,River Run,"$30 through 4/17, $35 through 4/28, $40 raceday",2017-04-30T12:00:00Z,4,30,7
H,Simsbury,"Sun, 04/30 12:10",5K,River Run,"$25 through 4/17, $30 through 4/28, $35 raceday",2017-04-30T12:10:00Z,4,30,7
F,Stratford,"Wed, 05/03 18:00",5K,Stratford Spring Series,"$10, for $25 for whole series",2017-05-03T18:00:00Z,5,3,3
W,Windham,"Sat, 05/06 08:10",13.1M,Willimantic Classic - Thread City 13.1,"$45 through ??, $55",2017-05-06T08:10:00Z,5,6,6
W,Windham,"Sat, 05/06 08:20",10K,Willimantic Classic - Tailored 10K,"$25 through ??, $30",2017-05-06T08:20:00Z,5,6,6
W,Windham,"Sat, 05/06 08:30",5K,Willimantic Classic - Frog Bridge 5K,"$20 through ??, $25; Ages 13-18 - $15, Kids 12 & under - $10",2017-05-06T08:30:00Z,5,6,6
